cue,time_s,visual_event,sfx_type,category,function,confidence,nearest_audio_onset_s,audio_offset_ms,motion_strength,nearest_scene_cut_s,scene_cut_offset_ms,sixteenth_grid_offset_ms,centroid_hz,low_fraction,mid_fraction,high_fraction,side_mid_ratio,peak_dbfs
36,56.94,Callouts verlassen das Bild,breiter Stereo-Whoosh,Whoosh/Bewegung,Informations-Exit,hoch,56.94,0.0,0.476,58.025,1085.0,-20.0,2578.1,0.4364,0.2452,0.3185,0.9187,-6.34
37,58.02,Schnitt zum ausgelegten Lieferumfang,Cut-Impact,Impact/Akzent,Unboxing-Rückkehr,hoch,58.02,0.0,30.91,58.025,5.0,36.0,360.4,0.5507,0.4376,0.0118,0.2316,-3.94
38,60.35,Draufsicht beginnt; erstes Zubehör ordnet sich,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,60.35,0.0,2.297,60.561,211.0,62.0,787.4,0.0651,0.8941,0.0408,0.3451,-4.99
39,60.6,Nächstes Zubehörteil erscheint,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,60.61,10.0,40.69,60.561,-39.0,56.0,367.6,0.3904,0.6031,0.0066,0.2794,-4.64
40,60.87,Nächstes Zubehörteil erscheint,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,60.87,0.0,1.532,60.561,-309.0,-58.0,601.5,0.3566,0.6032,0.0401,0.371,-6.28
41,61.13,Nächstes Zubehörteil erscheint,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,61.13,0.0,1.444,60.561,-569.0,-54.0,79.3,0.9621,0.0374,0.0005,0.131,-4.12
42,61.39,Nächstes Zubehörteil erscheint,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,61.39,0.0,0.031,60.561,-829.0,-50.0,2201.2,0.185,0.5667,0.2483,0.1986,-4.75
43,62.44,Zubehör-Line-up wird ergänzt,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,62.44,0.0,0.0,60.561,-1879.0,-24.0,1180.3,0.4619,0.4253,0.1128,0.3265,-4.39
44,62.7,Vorletzte Anordnung,Placement-Click,Click/Taktile Ebene,Objektplatzierung,hoch,62.7,0.0,0.0,60.561,-2139.0,-20.0,157.9,0.889,0.11,0.0011,0.0979,-4.76
45,62.95,Kompletter Lieferumfang steht,Placement-Impact,Impact/Akzent,Line-up abschliessen,hoch,62.95,0.0,0.0,60.561,-2389.0,-26.0,972.1,0.2306,0.714,0.0554,0.2238,-1.8
46,63.21,Wechsel zur Schlussbotschaft,Transition-Hit,Impact/Akzent,Finale vorbereiten,hoch,63.22,10.0,0.005,60.561,-2649.0,-22.0,151.4,0.8888,0.1109,0.0003,0.0238,-0.0
47,66.56,Hero-Makro der Kameras beginnt,heller Whoosh,Whoosh/Bewegung,Hero-Reveal,hoch,66.56,0.0,76.78,66.6,40.0,0.0,1852.5,0.0305,0.7865,0.183,0.1638,-13.13
48,67.45,Makrofahrt passiert die Kameramodule,Glide-Akzent,Whoosh/Bewegung,Kamerafahrt,mittel,67.45,0.0,8.576,68.068,618.0,-6.0,1754.8,0.1158,0.7257,0.1585,0.0602,-10.81
49,67.97,Schnitt zur vollständigen Rückseite,kurzer Impact,Impact/Akzent,Hero-Schnitt,hoch,67.97,0.0,29.891,68.068,98.0,2.0,574.0,0.7846,0.1631,0.0522,0.207,-5.85
50,69.02,Gerät rotiert in die finale Perspektive,Swish,Whoosh/Bewegung,Finalrotation,hoch,69.02,0.0,7.135,68.068,-952.0,28.0,3429.8,0.4645,0.1225,0.413,0.1485,-6.6
51,70.84,Displaybild und Produkt-Lock-up stehen,Finish-Akzent,Impact/Akzent,Finaler Reveal,mittel,70.85,10.0,8.829,71.939,1099.0,56.0,216.5,0.897,0.0913,0.0117,0.1531,-3.89
52,71.88,Produktbild endet; Endcard beginnt,Final-Impact,Impact/Akzent,Brand-Übergang,hoch,71.88,0.0,182.962,71.939,59.0,-56.0,152.4,0.8663,0.1326,0.0011,0.0526,-0.8
53,72.26,samsung.com,Endcard-Hit,Impact/Akzent,Call-to-action,hoch,72.26,0.0,0.0,71.939,-321.0,-60.0,462.7,0.6643,0.3119,0.0238,0.1468,-2.62
54,72.65,Samsung-Logo,kurzer Logo-Stinger,Logo-Stinger,Markenabschluss,hoch,72.64,-10.0,0.002,71.939,-711.0,-54.0,246.2,0.8997,0.085,0.0153,0.1296,-2.48
